60	0	-1.5
40	0	-1
80	0	2.5
80	0	1.5
0	0	-0.5
0	0	-1
0	0	0
60	0	0.5
60	0	-0.5
80	0	1.5
80	0	2
40	0	2
0	0	1.5
60	0	-1.5
60	0	0.5
60	0	1
80	0	1
40	0	0.5
20	0	-1
60	0	1
80	0	2.5
60	0	1
60	0	1
40	0	-1
0	0	-1.5
20	0	2.5
0	0	0
80	0	0.5
0	0	0.5
80	0	0.5
60	0	2
60	0	-1
40	0	-1.5
60	0	2.5
20	0	-1.5
80	0	1
80	0	-1
80	0	-1.5
0	0	-0.5
20	0	-1.5
0	0	0
0	0	2.5
80	0	-1.5
40	0	-1
60	0	0.5
60	0	1.5
40	0	1
20	0	-1.5
80	0	1
20	0	2.5
20	0	1.5
60	0	-0.5
20	0	0.5
20	0	1
40	0	-0.5
40	0	1
0	0	0.5
0	0	-1.5
40	0	-0.5
80	0	-1.5
60	0	-1
40	0	2.5
40	0	2.5
40	0	-1.5
60	0	0.5
60	0	-1.5
60	0	-1
0	0	2.5
60	0	-1.5
40	0	-1
0	0	-0.5
0	0	1.5
0	0	1
40	0	1.5
40	0	-1
20	0	0.5
80	0	-1
0	0	-1.5
20	0	0.5
20	0	-0.5
40	0	0.5
40	0	2.5
60	0	2.5
40	0	2.5
20	0	2.5
0	0	-0.5
40	0	-1.5
20	0	1.5
40	0	2
20	0	-1
20	0	2
40	0	-0.5
40	0	1.5
20	0	1
40	0	-1.5
0	0	0
80	0	2.5
40	0	2
40	0	-1.5
40	0	-0.5
80	0	1
0	0	-1.5
80	0	0.5
0	0	1
20	0	0.5
20	0	1
80	0	1.5
20	0	-1
80	0	-1.5
20	0	2.5
0	0	0.5
80	0	-1
0	0	-1
20	0	2
40	0	2
20	0	-1
80	0	1.5
0	0	1.5
20	0	2
20	0	1
0	0	1.5
0	0	2
60	0	2
0	0	-1
0	0	0.5
80	0	-0.5
60	0	1
80	0	-1
80	0	2
40	0	0.5
60	0	1.5
60	0	0.5
0	0	2
80	0	-0.5
0	0	1
80	0	0.5
80	0	0.5
80	0	-0.5
0	0	1
60	0	-0.5
20	0	-0.5
20	0	2.5
0	0	0
60	0	1.5
40	0	1.5
20	0	1
60	0	2
40	0	1
0	0	2
60	0	1.5
0	0	2.5
40	0	1.5
0	0	2
60	0	-0.5
40	0	2
0	0	2.5
20	0	1.5
60	0	1.5
80	0	2
80	0	-0.5
0	0	-1.5
40	0	0.5
60	0	2.5
20	0	-0.5
80	0	1
0	0	2
0	0	-1
60	0	2.5
60	0	-1.5
0	0	1.5
80	0	-1.5
80	0	2.5
80	0	-0.5
20	0	-1
80	0	-1
40	0	1.5
80	0	2
20	0	-1.5
20	0	1.5
0	0	-1
20	0	2
20	0	-1.5
20	0	-0.5
20	0	0.5
20	0	2
20	0	1.5
0	0	1
0	0	0.5
80	0	1.5
40	0	-0.5
80	0	2.5
60	0	-1
60	0	2
80	0	2
40	0	1
60	0	-0.5
0	0	-0.5
60	0	2.5
60	0	-1
40	0	1
20	0	-0.5
60	0	2
40	0	0.5
0	0	2.5
40	0	2.5
